N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip,engaged
63,1,z:ilp,nat-oop,46,67,41.215,1.471,5.050e-16,2p,1,0
64,1,z:ilp,nat-oop,47,31,40.461,0.647,3.061e-16,2p,1,0
65,1,z:ilp,nat-oop,55,67,35.764,1.216,5.868e-16,2p,1,0
66,1,z:ilp,nat-oop,46,66,43.055,1.423,6.157e-16,2p,1,0
67,1,z:ilp,nat-oop,171,740,11.916,4.342,9.808e-16,prime,1,0
68,1,z:ilp,nat-oop,66,138,31.535,2.099,9.965e-16,2p,1,0
69,1,z:ilp,nat-oop,97,196,21.835,2.030,8.102e-16,2p,1,0
70,1,z:ilp,nat-oop,45,78,47.288,1.726,3.505e-16,2p,1,0
71,1,z:ilp,nat-oop,170,845,12.860,4.977,7.646e-16,prime,1,0
72,1,z:ilp,nat-oop,45,75,48.823,1.647,5.906e-16,2p,1,0
73,1,z:ilp,nat-oop,173,902,13.045,5.206,7.901e-16,prime,1,0
74,1,z:ilp,nat-oop,435,295,5.278,0.677,5.919e-16,prime,1,0
75,1,z:ilp,nat-oop,58,78,40.348,1.347,4.922e-16,2p,1,0
76,1,z:ilp,nat-oop,74,164,32.184,2.229,7.163e-16,2p,1,0
77,1,z:ilp,nat-oop,60,75,40.055,1.237,5.342e-16,2p,1,0
78,1,z:ilp,nat-oop,58,80,42.273,1.380,1.048e-15,2p,1,0
79,1,z:ilp,nat-oop,209,1087,11.886,5.187,1.670e-15,prime,1,0
80,1,z:ilp,nat-oop,46,70,55.123,1.522,3.453e-16,2p,1,0
81,1,z:ilp,nat-oop,60,86,42.835,1.437,6.525e-16,2p,1,0
82,1,z:ilp,nat-oop,440,370,5.918,0.841,7.408e-16,prime,1,0
83,1,z:ilp,nat-oop,456,1243,5.802,2.725,7.081e-16,prime,1,0
84,1,z:ilp,nat-oop,58,87,46.093,1.501,3.271e-16,2p,1,0
85,1,z:ilp,nat-oop,84,189,32.494,2.254,1.109e-15,2p,1,0
86,1,z:ilp,nat-oop,456,405,6.058,0.888,5.480e-16,prime,1,0
87,1,z:ilp,nat-oop,429,329,6.527,0.765,5.635e-16,prime,1,0
88,1,z:ilp,nat-oop,61,87,46.744,1.427,8.421e-16,2p,1,0
89,1,z:ilp,nat-oop,217,1510,13.282,6.961,8.744e-16,prime,1,0
90,1,z:ilp,nat-oop,60,95,49.049,1.591,6.385e-16,2p,1,0
91,1,z:ilp,nat-oop,75,91,39.430,1.210,9.093e-16,2p,1,0
92,1,z:ilp,nat-oop,123,234,24.441,1.909,1.836e-15,2p,1,0
93,1,z:ilp,nat-oop,439,376,6.919,0.856,6.555e-16,prime,1,0
94,1,z:ilp,nat-oop,446,497,6.901,1.113,8.017e-16,prime,1,0
95,1,z:ilp,nat-oop,103,227,30.225,2.195,1.127e-15,2p,1,0
96,1,z:ilp,nat-oop,51,96,61.649,1.874,4.932e-16,2p,1,0
97,1,z:ilp,nat-oop,219,654,14.648,2.992,7.067e-16,prime,1,0
98,1,z:ilp,nat-oop,115,124,28.135,1.077,4.740e-16,flat,1,0
99,1,z:ilp,nat-oop,83,112,39.517,1.347,1.061e-15,2p,1,0
100,1,z:ilp,nat-oop,64,103,51.850,1.611,3.942e-16,2p,1,0
101,1,z:ilp,nat-oop,234,559,14.349,2.384,7.591e-16,prime,1,0
102,1,z:ilp,nat-oop,92,203,36.996,2.211,1.039e-15,2p,1,0
103,1,z:ilp,nat-oop,298,569,11.573,1.913,1.988e-15,prime,1,0
104,1,z:ilp,nat-oop,75,101,46.584,1.353,9.436e-16,2p,1,0
105,1,z:ilp,nat-oop,82,114,42.871,1.388,6.229e-16,2p,1,0
106,1,z:ilp,nat-oop,448,663,7.963,1.481,6.671e-16,prime,1,0
107,1,z:ilp,nat-oop,445,564,8.100,1.266,1.000e-15,prime,1,0
108,1,z:ilp,nat-oop,77,120,47.308,1.554,7.447e-16,2p,1,0
109,1,z:ilp,nat-oop,263,565,14.023,2.149,1.015e-15,prime,1,0
110,1,z:ilp,nat-oop,82,129,45.426,1.568,5.739e-16,2p,1,0
111,1,z:ilp,nat-oop,452,563,8.349,1.246,6.436e-16,prime,1,0
112,1,z:ilp,nat-oop,70,94,54.315,1.334,3.857e-16,2p,1,0
113,1,z:ilp,nat-oop,268,568,14.359,2.117,8.435e-16,prime,1,0
114,1,z:ilp,nat-oop,110,245,35.400,2.225,7.745e-16,2p,1,0
115,1,z:ilp,nat-oop,145,336,27.129,2.318,1.682e-15,2p,1,0
116,1,z:ilp,nat-oop,451,363,8.812,0.805,1.213e-15,prime,1,0
117,1,z:ilp,nat-oop,101,137,39.760,1.356,8.841e-16,2p,1,0
118,1,z:ilp,nat-oop,452,831,8.990,1.840,5.646e-16,prime,1,0
119,1,z:ilp,nat-oop,128,273,32.055,2.136,8.944e-16,2p,1,0
120,1,z:ilp,nat-oop,78,125,53.457,1.607,5.599e-16,2p,1,0
121,1,z:ilp,nat-oop,108,122,38.733,1.128,8.133e-16,2p,1,0
122,1,z:ilp,nat-oop,460,909,9.199,1.978,7.599e-16,prime,1,0
123,1,z:ilp,nat-oop,455,726,9.378,1.594,8.484e-16,prime,1,0
124,1,z:ilp,nat-oop,458,406,9.411,0.887,8.008e-16,prime,1,0
125,1,z:ilp,nat-oop,101,132,43.123,1.308,4.847e-16,2p,1,0
126,1,z:ilp,nat-oop,95,135,46.248,1.424,3.110e-16,2p,1,0
127,1,z:ilp,nat-oop,400,579,11.098,1.449,1.308e-15,prime,1,0
128,1,z:ilp,nat-oop,66,68,67.726,1.035,4.284e-16,2p,1,0
129,1,z:ilp,nat-oop,952,805,4.752,0.846,5.977e-16,prime,1,0
130,1,z:ilp,nat-oop,104,155,43.930,1.496,6.566e-16,2p,1,0
131,1,z:ilp,nat-oop,421,952,10.952,2.262,9.925e-16,prime,1,0
132,1,z:ilp,nat-oop,103,145,45.055,1.401,8.247e-16,2p,1,0
133,1,z:ilp,nat-oop,190,323,24.738,1.703,1.190e-15,2p,1,0
134,1,z:ilp,nat-oop,935,1132,5.065,1.211,7.686e-16,prime,1,0
135,1,z:ilp,nat-oop,107,155,44.447,1.444,6.768e-16,2p,1,0
136,1,z:ilp,nat-oop,132,273,36.521,2.072,1.026e-15,2p,1,0
137,1,z:ilp,nat-oop,424,957,11.480,2.259,1.316e-15,prime,1,0
138,1,z:ilp,nat-oop,187,347,26.163,1.852,1.763e-15,2p,1,0
139,1,z:ilp,nat-oop,528,958,9.377,1.816,1.846e-15,prime,1,0
140,1,z:ilp,nat-oop,109,144,45.982,1.325,4.089e-16,chain3,1,0
141,1,z:ilp,nat-oop,956,983,5.266,1.028,6.695e-16,prime,1,0
142,1,z:ilp,nat-oop,971,1265,5.228,1.302,8.480e-16,prime,1,0
143,1,z:ilp,nat-oop,138,148,37.001,1.069,9.536e-16,2p,1,0
144,1,z:ilp,nat-oop,106,142,48.667,1.334,5.397e-16,chain3,1,0
145,1,z:ilp,nat-oop,961,554,5.419,0.577,6.818e-16,prime,1,0
146,1,z:ilp,nat-oop,957,1361,5.485,1.423,9.531e-16,prime,1,0
147,1,z:ilp,nat-oop,131,158,40.549,1.212,4.851e-16,chain3,1,0
148,1,z:ilp,nat-oop,955,586,5.589,0.614,4.931e-16,prime,1,0
149,1,z:ilp,nat-oop,955,979,5.634,1.025,6.099e-16,prime,1,0
150,1,z:ilp,nat-oop,107,158,50.556,1.477,3.684e-16,2p,1,0
151,1,z:ilp,nat-oop,407,973,13.442,2.393,7.324e-16,prime,1,0
152,1,z:ilp,nat-oop,148,329,37.144,2.221,8.119e-16,2p,1,0
153,1,z:ilp,nat-oop,167,370,33.265,2.218,1.014e-15,2p,1,0
154,1,z:ilp,nat-oop,195,206,28.641,1.056,8.448e-16,flat,1,0
155,1,z:ilp,nat-oop,1040,628,5.421,0.604,5.403e-16,prime,1,0
156,1,z:ilp,nat-oop,131,172,43.446,1.317,6.056e-16,2p,1,0
157,1,z:ilp,nat-oop,448,990,12.771,2.207,1.674e-15,prime,1,0
158,1,z:ilp,nat-oop,969,1598,5.952,1.649,5.690e-16,prime,1,0
159,1,z:ilp,nat-oop,966,1325,6.018,1.371,4.630e-16,prime,1,0
160,1,z:ilp,nat-oop,91,163,64.193,1.782,2.213e-16,2p,1,0
161,1,z:ilp,nat-oop,235,467,25.156,1.990,1.234e-15,2p,1,0
162,1,z:ilp,nat-oop,123,189,48.383,1.535,4.248e-16,2p,1,0
163,1,z:ilp,nat-oop,462,1253,12.970,2.714,9.880e-16,prime,1,0
164,1,z:ilp,nat-oop,1027,731,5.874,0.712,6.477e-16,prime,1,0
165,1,z:ilp,nat-oop,143,186,42.418,1.301,6.682e-16,2p,1,0
166,1,z:ilp,nat-oop,957,1777,6.394,1.856,9.708e-16,prime,1,0
167,1,z:ilp,nat-oop,979,1247,6.300,1.274,8.716e-16,prime,1,0
168,1,z:ilp,nat-oop,125,513,49.608,4.095,3.671e-16,chain3,1,0
169,1,z:ilp,nat-oop,168,188,37.126,1.118,1.538e-15,2p,1,0
170,1,z:ilp,nat-oop,169,370,37.233,2.186,1.025e-15,2p,1,0
171,1,z:ilp,nat-oop,294,440,21.585,1.498,9.799e-16,2p,1,0
172,1,z:ilp,nat-oop,991,811,6.447,0.819,6.930e-16,prime,1,0
173,1,z:ilp,nat-oop,1002,1258,6.419,1.256,6.386e-16,prime,1,0
174,1,z:ilp,nat-oop,1002,544,6.463,0.543,6.410e-16,prime,1,0
175,1,z:ilp,nat-oop,149,194,43.752,1.302,4.081e-16,chain3,1,0
176,1,z:ilp,nat-oop,125,167,52.436,1.331,5.725e-16,2p,1,0
177,1,z:ilp,nat-oop,984,1669,6.716,1.696,1.186e-15,prime,1,0
178,1,z:ilp,nat-oop,977,2119,6.813,2.170,8.376e-16,prime,1,0
179,1,z:ilp,nat-oop,977,1260,6.857,1.289,7.871e-16,prime,1,0
180,1,z:ilp,nat-oop,136,206,49.729,1.516,5.093e-16,2p,1,0
181,1,z:ilp,nat-oop,520,1267,13.058,2.437,1.267e-15,prime,1,0
182,1,z:ilp,nat-oop,254,250,26.848,0.981,8.443e-16,flat,1,0
183,1,z:ilp,nat-oop,971,1834,7.080,1.888,1.060e-15,prime,1,0
184,1,z:ilp,nat-oop,228,471,30.397,2.067,1.330e-15,2p,1,0
185,1,z:ilp,nat-oop,959,946,7.262,0.986,1.099e-15,prime,1,0
186,1,z:ilp,nat-oop,981,613,7.149,0.625,9.421e-16,prime,1,0
187,1,z:ilp,nat-oop,267,442,26.475,1.657,1.306e-15,flat,1,0
188,1,z:ilp,nat-oop,964,983,7.365,1.020,9.699e-16,prime,1,0
189,1,z:ilp,nat-oop,165,228,43.361,1.381,7.658e-16,chain3,1,0
190,1,z:ilp,nat-oop,191,442,37.603,2.314,9.602e-16,2p,1,0
191,1,z:ilp,nat-oop,621,1290,11.661,2.079,1.613e-15,prime,1,0
192,1,z:ilp,nat-oop,110,181,65.897,1.642,3.699e-16,2p,1,0
193,1,z:ilp,nat-oop,470,1296,15.579,2.755,7.423e-16,prime,1,0
194,1,z:ilp,nat-oop,989,2614,7.457,2.644,7.309e-16,prime,1,0
195,1,z:ilp,nat-oop,182,233,40.831,1.283,9.577e-16,chain3,1,0
196,1,z:ilp,nat-oop,161,218,46.455,1.360,3.677e-16,chain3,1,0
197,1,z:ilp,nat-oop,669,1304,11.218,1.948,7.074e-16,prime,1,0
198,1,z:ilp,nat-oop,180,234,41.948,1.298,9.017e-16,chain3,1,0
199,1,z:ilp,nat-oop,623,1297,12.204,2.084,1.436e-15,prime,1,0
200,1,z:ilp,nat-oop,140,217,54.748,1.551,4.731e-16,chain3,1,0
201,1,z:ilp,nat-oop,1012,2237,7.601,2.212,7.985e-16,prime,1,0
202,1,z:ilp,nat-oop,978,2877,7.909,2.941,5.396e-16,prime,1,0
203,1,z:ilp,nat-oop,970,779,8.018,0.803,9.644e-16,prime,1,0
204,1,z:ilp,nat-oop,211,437,37.115,2.074,1.297e-15,chain3,1,0
205,1,z:ilp,nat-oop,1000,1227,7.871,1.227,9.958e-16,prime,1,0
206,1,z:ilp,nat-oop,1001,2918,7.908,2.915,1.072e-15,prime,1,0
207,1,z:ilp,nat-oop,262,640,30.432,2.445,1.249e-15,2p,1,0
208,1,z:ilp,nat-oop,158,199,50.797,1.263,7.811e-16,2p,1,0
209,1,z:ilp,nat-oop,246,519,32.768,2.113,1.182e-15,2p,1,0
210,1,z:ilp,nat-oop,166,225,48.663,1.349,4.276e-16,chain3,1,0
211,1,z:ilp,nat-oop,711,1222,11.464,1.720,1.834e-15,prime,1,0
212,1,z:ilp,nat-oop,1017,1322,8.053,1.300,1.096e-15,prime,1,0
213,1,z:ilp,nat-oop,1017,2549,8.100,2.506,7.214e-16,prime,1,0
214,1,z:ilp,nat-oop,1022,3149,8.104,3.081,7.755e-16,prime,1,0
215,1,z:ilp,nat-oop,1008,1350,8.261,1.339,9.607e-16,prime,1,0
216,1,z:ilp,nat-oop,161,248,52.002,1.539,3.618e-16,2p,1,0
217,1,z:ilp,nat-oop,1023,883,8.234,0.863,6.789e-16,prime,1,0
218,1,z:ilp,nat-oop,997,3369,8.490,3.378,7.203e-16,prime,1,0
219,1,z:ilp,nat-oop,1016,2757,8.379,2.713,8.917e-16,prime,1,0
220,1,z:ilp,nat-oop,189,250,45.232,1.320,7.036e-16,chain3,1,0
221,1,z:ilp,nat-oop,252,538,34.132,2.134,1.084e-15,2p,1,0
222,1,z:ilp,nat-oop,1000,888,8.651,0.888,6.306e-16,prime,1,0
223,1,z:ilp,nat-oop,1036,1234,8.398,1.191,1.071e-15,prime,1,0
224,1,z:ilp,nat-oop,145,224,60.135,1.544,3.932e-16,2p,1,0
225,1,z:ilp,nat-oop,194,268,45.275,1.378,6.845e-16,2p,1,0
226,1,z:ilp,nat-oop,1002,3644,8.822,3.638,8.214e-16,prime,1,0
227,1,z:ilp,nat-oop,991,1244,8.966,1.255,1.116e-15,prime,1,0
228,1,z:ilp,nat-oop,364,524,24.536,1.439,1.514e-15,flat,1,0
229,1,z:ilp,nat-oop,807,1248,11.120,1.546,1.479e-15,prime,1,0
230,1,z:ilp,nat-oop,323,628,27.933,1.944,1.575e-15,2p,1,0
231,1,z:ilp,nat-oop,218,268,41.641,1.230,7.016e-16,chain3,1,0
232,1,z:ilp,nat-oop,997,733,9.140,0.735,9.013e-16,prime,1,0
233,1,z:ilp,nat-oop,998,1248,9.181,1.251,9.358e-16,prime,1,0
234,1,z:ilp,nat-oop,231,281,39.794,1.214,8.907e-16,chain3,1,0
235,1,z:ilp,nat-oop,994,1663,9.315,1.674,6.724e-16,prime,1,0
236,1,z:ilp,nat-oop,1049,1666,8.866,1.588,8.337e-16,prime,1,0
237,1,z:ilp,nat-oop,1052,3265,8.888,3.104,7.948e-16,prime,1,0
238,1,z:ilp,nat-oop,381,569,24.681,1.495,1.331e-15,flat,1,0
239,1,z:ilp,nat-oop,1014,1256,9.311,1.239,9.595e-16,prime,1,0
240,1,z:ilp,nat-oop,167,248,56.655,1.480,7.422e-16,2p,1,0
241,1,z:ilp,nat-oop,656,1253,14.538,1.910,5.541e-16,prime,1,0
242,1,z:ilp,nat-oop,342,366,28.021,1.072,8.153e-16,flat,1,0
243,1,z:ilp,nat-oop,215,294,44.811,1.369,7.564e-16,2p,1,0
244,1,z:ilp,nat-oop,1031,1821,9.386,1.767,6.015e-16,prime,1,0
245,1,z:ilp,nat-oop,220,276,44.207,1.253,3.320e-16,chain3,1,0
246,1,z:ilp,nat-oop,996,1102,9.807,1.106,7.880e-16,prime,1,0
247,1,z:ilp,nat-oop,300,639,32.692,2.128,1.086e-15,2p,1,0
248,1,z:ilp,nat-oop,1046,828,9.430,0.792,8.341e-16,prime,1,0
249,1,z:ilp,nat-oop,1023,3726,9.691,3.643,5.511e-16,prime,1,0
250,1,z:ilp,nat-oop,189,307,52.595,1.622,4.059e-16,chain3,1,0
251,1,z:ilp,nat-oop,710,1262,14.092,1.778,9.603e-16,prime,1,0
252,1,z:ilp,nat-oop,210,285,47.828,1.354,8.204e-16,chain3,1,0
253,1,z:ilp,nat-oop,356,791,28.363,2.220,1.426e-15,2p,1,0
254,1,z:ilp,nat-oop,1018,4555,9.964,4.473,6.977e-16,prime,1,0
255,1,z:ilp,nat-oop,270,636,37.746,2.354,9.941e-16,2p,1,0
256,1,z:ilp,nat-oop,139,137,73.649,0.982,3.135e-16,2p,1,0
257,1,z:ilp,nat-oop,657,2065,15.658,3.144,6.963e-16,prime,1,0
258,1,z:ilp,nat-oop,2080,1210,4.967,0.582,8.372e-16,prime,1,0
259,1,z:ilp,nat-oop,2231,1338,4.654,0.600,1.031e-15,prime,1,0
260,1,z:ilp,nat-oop,233,298,44.839,1.283,9.340e-16,chain3,1,0
261,1,z:ilp,nat-oop,2155,1052,4.860,0.488,4.771e-16,prime,1,0
262,1,z:ilp,nat-oop,2083,4880,5.053,2.343,8.087e-16,prime,1,0
263,1,z:ilp,nat-oop,2052,2085,5.152,1.016,6.145e-16,prime,1,0
264,1,z:ilp,nat-oop,227,305,46.772,1.344,7.847e-16,chain3,1,0
265,1,z:ilp,nat-oop,2055,2228,5.191,1.084,5.820e-16,prime,1,0
266,1,z:ilp,nat-oop,460,683,23.275,1.485,1.254e-15,flat,1,0
267,1,z:ilp,nat-oop,2138,4523,5.032,2.115,8.658e-16,prime,1,0
268,1,z:ilp,nat-oop,2285,2217,4.731,0.970,9.680e-16,prime,1,0
269,1,z:ilp,nat-oop,2139,2095,5.075,0.979,9.359e-16,prime,1,0
270,1,z:ilp,nat-oop,222,328,49.082,1.477,1.109e-15,chain3,1,0
271,1,z:ilp,nat-oop,793,2085,13.803,2.628,9.951e-16,prime,1,0
272,1,z:ilp,nat-oop,259,541,42.492,2.090,1.150e-15,2p,1,0
273,1,z:ilp,nat-oop,279,326,39.580,1.169,9.085e-16,2p,1,0
274,1,z:ilp,nat-oop,2308,5432,4.807,2.353,8.522e-16,prime,1,0
275,1,z:ilp,nat-oop,426,340,26.161,0.798,7.394e-16,chain3,1,0
276,1,z:ilp,nat-oop,345,744,32.417,2.155,1.891e-15,2p,1,0
277,1,z:ilp,nat-oop,1075,2089,10.452,1.943,2.051e-15,prime,1,0
278,1,z:ilp,nat-oop,2317,5501,4.871,2.374,8.051e-16,prime,1,0
279,1,z:ilp,nat-oop,2085,1186,5.436,0.569,5.835e-16,prime,1,0
280,1,z:ilp,nat-oop,209,301,54.431,1.440,5.035e-16,chain3,1,0
281,1,z:ilp,nat-oop,815,2089,14.023,2.563,7.455e-16,prime,1,0
282,1,z:ilp,nat-oop,2304,1483,4.980,0.643,7.550e-16,prime,1,0
283,1,z:ilp,nat-oop,2146,2092,5.371,0.975,8.062e-16,prime,1,0
284,1,z:ilp,nat-oop,2296,2517,5.039,1.096,9.102e-16,prime,1,0
285,1,z:ilp,nat-oop,345,756,33.711,2.194,8.882e-16,2p,1,0
286,1,z:ilp,nat-oop,427,440,27.318,1.031,8.333e-16,flat,1,0
287,1,z:ilp,nat-oop,2195,1719,5.339,0.783,7.374e-16,prime,1,0
288,1,z:ilp,nat-oop,193,338,60.814,1.746,8.335e-16,2p,1,0
289,1,z:ilp,nat-oop,378,1094,31.290,2.899,1.744e-15,2p,1,0
290,1,z:ilp,nat-oop,2058,970,5.762,0.471,8.431e-16,prime,1,0
291,1,z:ilp,nat-oop,2185,2414,5.451,1.105,7.942e-16,prime,1,0
292,1,z:ilp,nat-oop,2195,2715,5.448,1.237,7.207e-16,prime,1,0
293,1,z:ilp,nat-oop,2257,2401,5.318,1.064,7.482e-16,prime,1,0
294,1,z:ilp,nat-oop,253,340,47.737,1.348,4.327e-16,chain3,1,0
295,1,z:ilp,nat-oop,2101,2799,5.760,1.332,8.492e-16,prime,1,0
296,1,z:ilp,nat-oop,2072,1185,5.863,0.572,8.495e-16,prime,1,0
297,1,z:ilp,nat-oop,290,392,42.089,1.351,8.079e-16,chain3,1,0
298,1,z:ilp,nat-oop,2299,6469,5.328,2.814,8.631e-16,prime,1,0
299,1,z:ilp,nat-oop,547,921,22.495,1.686,1.236e-15,2p,1,0
300,1,z:ilp,nat-oop,233,356,53.073,1.529,5.393e-16,chain3,1,0
301,1,z:ilp,nat-oop,2125,1890,5.830,0.889,8.141e-16,prime,1,0
302,1,z:ilp,nat-oop,2110,2424,5.895,1.149,8.987e-16,prime,1,0
303,1,z:ilp,nat-oop,2100,2419,5.948,1.152,7.700e-16,prime,1,0
304,1,z:ilp,nat-oop,326,652,38.490,2.003,1.066e-15,2p,1,0
305,1,z:ilp,nat-oop,2099,3086,5.996,1.470,7.192e-16,prime,1,0
306,1,z:ilp,nat-oop,331,680,38.141,2.054,1.093e-15,chain3,1,0
307,1,z:ilp,nat-oop,1268,2412,10.001,1.902,1.600e-15,prime,1,0
308,1,z:ilp,nat-oop,280,386,45.396,1.375,6.224e-16,chain3,1,0
309,1,z:ilp,nat-oop,2147,2415,5.952,1.125,5.911e-16,prime,1,0
310,1,z:ilp,nat-oop,2069,1091,6.200,0.527,8.464e-16,prime,1,0
311,1,z:ilp,nat-oop,2264,2427,5.687,1.072,7.636e-16,prime,1,0
312,1,z:ilp,nat-oop,289,365,44.686,1.260,7.585e-16,chain3,1,0
313,1,z:ilp,nat-oop,1153,2429,11.251,2.106,1.411e-15,prime,1,0
314,1,z:ilp,nat-oop,2093,2415,6.221,1.154,7.617e-16,prime,1,0
315,1,z:ilp,nat-oop,289,394,45.155,1.362,6.333e-16,chain3,1,0
316,1,z:ilp,nat-oop,2327,3199,5.638,1.375,6.631e-16,prime,1,0
317,1,z:ilp,nat-oop,2201,2439,5.982,1.108,7.857e-16,prime,1,0
318,1,z:ilp,nat-oop,2099,1994,6.298,0.950,7.497e-16,prime,1,0
319,1,z:ilp,nat-oop,2125,1248,6.242,0.587,1.071e-15,prime,1,0
320,1,z:ilp,nat-oop,204,322,65.194,1.575,2.967e-16,2p,1,0
321,1,z:ilp,nat-oop,2123,2691,6.294,1.267,1.059e-15,prime,1,0
322,1,z:ilp,nat-oop,634,949,21.159,1.497,1.099e-15,flat,1,0
323,1,z:ilp,nat-oop,489,1279,27.528,2.616,1.355e-15,2p,1,0
324,1,z:ilp,nat-oop,274,410,49.268,1.495,6.763e-16,chain3,1,0
325,1,z:ilp,nat-oop,328,403,41.382,1.231,1.225e-15,2p,1,0
326,1,z:ilp,nat-oop,2223,2653,6.122,1.193,6.303e-16,prime,1,0
327,1,z:ilp,nat-oop,2123,2647,6.433,1.247,1.261e-15,prime,1,0
