library,N,l2_error,max_error,rt_error
MKL,22,1.456e-16,1.602e-16,2.696e-16
VectorFFT,23,3.085e-16,4.347e-16,5.177e-16
MKL,23,2.197e-16,2.840e-16,4.558e-16
VectorFFT,24,1.976e-16,2.878e-16,4.005e-16
MKL,24,1.346e-16,1.477e-16,2.865e-16
VectorFFT,25,1.779e-16,1.569e-16,4.628e-16
MKL,25,2.072e-16,1.918e-16,2.743e-16
VectorFFT,26,3.906e-16,4.634e-16,6.391e-16
MKL,26,1.992e-16,1.994e-16,4.029e-16
VectorFFT,27,3.402e-16,3.196e-16,9.809e-16
MKL,27,1.909e-16,1.625e-16,5.378e-16
VectorFFT,28,1.798e-16,1.689e-16,3.336e-16
MKL,28,1.997e-16,1.927e-16,5.956e-16
VectorFFT,29,2.901e-16,3.573e-16,5.918e-16
MKL,29,1.896e-16,1.892e-16,4.044e-16
VectorFFT,30,2.678e-16,3.033e-16,7.378e-16
MKL,30,1.848e-16,2.281e-16,3.861e-16
VectorFFT,31,2.707e-16,2.618e-16,5.191e-16
MKL,31,1.707e-16,1.497e-16,4.704e-16
VectorFFT,32,9.809e-17,7.897e-17,2.277e-16
MKL,32,1.248e-16,9.644e-17,2.277e-16
VectorFFT,33,2.623e-16,3.028e-16,5.590e-16
MKL,33,2.266e-16,2.546e-16,3.574e-16
VectorFFT,34,3.648e-16,3.234e-16,8.383e-16
MKL,34,1.845e-16,2.026e-16,4.195e-16
VectorFFT,35,2.052e-16,2.287e-16,5.059e-16
MKL,35,1.951e-16,2.167e-16,3.874e-16
VectorFFT,36,2.725e-16,2.542e-16,5.341e-16
MKL,36,1.619e-16,1.943e-16,3.183e-16
VectorFFT,37,2.956e-16,3.988e-16,5.980e-16
MKL,37,2.120e-16,4.040e-16,5.302e-16
VectorFFT,38,3.880e-16,3.640e-16,9.160e-16
MKL,38,1.803e-16,1.833e-16,4.574e-16
VectorFFT,39,3.556e-16,4.291e-16,7.261e-16
MKL,39,2.289e-16,3.266e-16,4.421e-16
VectorFFT,40,1.737e-16,2.160e-16,3.374e-16
MKL,40,1.445e-16,1.567e-16,4.266e-16
VectorFFT,41,2.662e-16,3.141e-16,5.991e-16
MKL,41,2.394e-16,2.508e-16,5.195e-16
VectorFFT,42,2.950e-16,2.786e-16,5.111e-16
MKL,42,1.763e-16,2.496e-16,4.311e-16
VectorFFT,43,5.551e-16,6.384e-16,1.401e-15
MKL,43,2.088e-16,3.338e-16,4.206e-16
VectorFFT,44,2.356e-16,2.383e-16,5.826e-16
MKL,44,1.872e-16,1.999e-16,4.176e-16
VectorFFT,45,3.079e-16,3.300e-16,7.901e-16
MKL,45,2.275e-16,2.556e-16,6.350e-16
VectorFFT,46,4.134e-16,3.738e-16,9.760e-16
MKL,46,1.785e-16,1.872e-16,4.012e-16
VectorFFT,47,2.547e-16,2.132e-16,5.698e-16
MKL,47,2.520e-16,3.085e-16,5.979e-16
VectorFFT,48,2.518e-16,2.931e-16,5.184e-16
MKL,48,1.670e-16,1.585e-16,4.950e-16
VectorFFT,49,2.116e-16,2.614e-16,5.550e-16
MKL,49,2.425e-16,3.275e-16,4.775e-16
VectorFFT,50,2.313e-16,2.260e-16,5.065e-16
MKL,50,2.145e-16,2.714e-16,4.127e-16
VectorFFT,51,4.091e-16,5.686e-16,9.657e-16
MKL,51,2.158e-16,2.463e-16,5.485e-16
VectorFFT,52,3.621e-16,6.850e-16,6.210e-16
MKL,52,1.687e-16,1.878e-16,4.793e-16
VectorFFT,53,5.606e-16,4.777e-16,1.010e-15
MKL,53,2.060e-16,1.956e-16,5.467e-16
VectorFFT,54,3.420e-16,3.529e-16,9.912e-16
MKL,54,1.499e-16,1.406e-16,3.888e-16
VectorFFT,55,2.526e-16,2.861e-16,6.861e-16
MKL,55,2.375e-16,2.462e-16,5.394e-16
VectorFFT,56,1.817e-16,1.870e-16,4.676e-16
MKL,56,1.497e-16,1.384e-16,4.537e-16
VectorFFT,57,3.234e-16,3.485e-16,7.760e-16
MKL,57,2.370e-16,3.045e-16,5.362e-16
VectorFFT,58,3.682e-16,3.548e-16,6.849e-16
MKL,58,2.167e-16,2.456e-16,4.837e-16
VectorFFT,59,2.872e-16,3.122e-16,1.141e-15
MKL,59,2.794e-16,3.300e-16,7.699e-16
VectorFFT,60,3.048e-16,2.723e-16,7.412e-16
MKL,60,1.989e-16,1.657e-16,5.332e-16
VectorFFT,61,5.745e-16,5.012e-16,1.252e-15
MKL,61,2.690e-16,3.016e-16,5.892e-16
VectorFFT,62,3.838e-16,5.559e-16,9.185e-16
MKL,62,2.000e-16,2.611e-16,5.745e-16
VectorFFT,63,3.155e-16,3.199e-16,7.655e-16
MKL,63,2.218e-16,2.445e-16,5.014e-16
VectorFFT,64,1.401e-16,1.219e-16,3.385e-16
MKL,64,1.405e-16,1.223e-16,3.385e-16
VectorFFT,65,3.633e-16,5.794e-16,7.729e-16
MKL,65,2.776e-16,3.963e-16,7.623e-16
VectorFFT,66,2.701e-16,3.028e-16,5.360e-16
MKL,66,1.868e-16,1.771e-16,4.278e-16
VectorFFT,67,5.002e-16,5.129e-16,1.212e-15
MKL,67,2.498e-16,2.578e-16,5.308e-16
VectorFFT,68,3.498e-16,2.975e-16,7.018e-16
MKL,68,1.777e-16,1.464e-16,4.164e-16
VectorFFT,69,3.740e-16,3.870e-16,8.215e-16
MKL,69,2.570e-16,4.325e-16,5.057e-16
VectorFFT,70,2.419e-16,2.501e-16,5.195e-16
MKL,70,1.837e-16,1.574e-16,4.204e-16
VectorFFT,71,4.208e-16,4.421e-16,8.778e-16
MKL,71,2.710e-16,2.697e-16,5.873e-16
VectorFFT,72,2.744e-16,2.542e-16,5.584e-16
MKL,72,1.650e-16,1.648e-16,4.780e-16
VectorFFT,73,5.804e-16,4.497e-16,1.245e-15
MKL,73,2.145e-16,2.235e-16,4.475e-16
VectorFFT,74,3.878e-16,4.244e-16,1.071e-15
MKL,74,2.183e-16,2.256e-16,6.732e-16
VectorFFT,75,3.042e-16,2.386e-16,6.209e-16
MKL,75,3.801e-16,3.677e-16,7.917e-16
VectorFFT,76,2.962e-16,4.470e-16,6.885e-16
MKL,76,1.712e-16,1.769e-16,5.407e-16
VectorFFT,77,2.439e-16,2.792e-16,4.948e-16
MKL,77,2.507e-16,2.870e-16,5.050e-16
VectorFFT,78,4.177e-16,5.301e-16,1.186e-15
MKL,78,2.261e-16,2.922e-16,4.914e-16
VectorFFT,79,6.402e-16,8.494e-16,1.682e-15
MKL,79,2.622e-16,3.107e-16,5.204e-16
VectorFFT,80,1.943e-16,2.655e-16,5.558e-16
MKL,80,1.699e-16,2.027e-16,5.445e-16
VectorFFT,81,3.759e-16,3.863e-16,7.391e-16
MKL,81,3.001e-16,3.717e-16,7.301e-16
VectorFFT,82,2.809e-16,2.758e-16,7.632e-16
MKL,82,2.421e-16,2.902e-16,5.657e-16
VectorFFT,83,2.644e-16,2.549e-16,8.011e-16
MKL,83,2.477e-16,2.201e-16,5.247e-16
VectorFFT,84,2.636e-16,3.178e-16,7.172e-16
MKL,84,2.051e-16,2.830e-16,5.510e-16
VectorFFT,85,4.155e-16,4.850e-16,9.256e-16
MKL,85,2.669e-16,2.905e-16,5.539e-16
VectorFFT,86,3.234e-16,3.647e-16,9.671e-16
MKL,86,2.024e-16,2.690e-16,4.762e-16
VectorFFT,87,3.770e-16,6.317e-16,9.509e-16
MKL,87,2.321e-16,2.638e-16,8.745e-16
VectorFFT,88,2.180e-16,2.702e-16,6.254e-16
MKL,88,1.935e-16,1.991e-16,4.728e-16
VectorFFT,89,3.903e-16,3.203e-16,9.829e-16
MKL,89,2.755e-16,3.331e-16,7.621e-16
VectorFFT,90,3.334e-16,3.639e-16,6.147e-16
MKL,90,2.056e-16,2.130e-16,5.202e-16
VectorFFT,91,3.583e-16,4.906e-16,7.627e-16
MKL,91,2.503e-16,2.378e-16,5.038e-16
VectorFFT,92,3.701e-16,6.768e-16,1.209e-15
MKL,92,1.752e-16,2.088e-16,4.242e-16
VectorFFT,93,3.933e-16,3.885e-16,1.014e-15
MKL,93,2.299e-16,2.560e-16,5.417e-16
VectorFFT,94,3.510e-16,2.879e-16,9.944e-16
MKL,94,2.304e-16,2.536e-16,6.569e-16
VectorFFT,95,3.162e-16,3.328e-16,7.380e-16
MKL,95,2.961e-16,3.584e-16,8.985e-16
VectorFFT,96,2.331e-16,2.277e-16,6.124e-16
MKL,96,1.687e-16,1.959e-16,4.663e-16
VectorFFT,97,4.617e-16,3.650e-16,1.485e-15
MKL,97,4.070e-16,4.010e-16,8.824e-16
VectorFFT,98,3.595e-16,4.269e-16,9.674e-16
MKL,98,2.161e-16,2.398e-16,5.906e-16
VectorFFT,99,3.516e-16,2.991e-16,8.192e-16
MKL,99,2.186e-16,2.230e-16,5.718e-16
VectorFFT,100,2.458e-16,2.870e-16,6.090e-16
MKL,100,2.115e-16,2.041e-16,4.925e-16
VectorFFT,101,3.882e-16,3.628e-16,1.302e-15
MKL,101,4.271e-16,5.389e-16,1.001e-15
VectorFFT,102,3.887e-16,4.326e-16,8.855e-16
MKL,102,2.111e-16,2.526e-16,5.306e-16
VectorFFT,103,7.858e-16,8.110e-16,1.830e-15
MKL,103,4.172e-16,4.838e-16,1.342e-15
VectorFFT,104,3.234e-16,4.121e-16,8.495e-16
MKL,104,2.221e-16,3.190e-16,6.267e-16
VectorFFT,105,3.084e-16,3.245e-16,5.480e-16
MKL,105,2.437e-16,3.471e-16,5.490e-16
VectorFFT,106,3.740e-16,3.349e-16,8.891e-16
MKL,106,1.944e-16,2.188e-16,4.448e-16
VectorFFT,107,4.029e-16,4.352e-16,9.501e-16
MKL,107,3.686e-16,3.819e-16,9.509e-16
VectorFFT,108,3.853e-16,4.268e-16,9.752e-16
MKL,108,1.794e-16,2.437e-16,5.739e-16
VectorFFT,109,6.021e-16,5.788e-16,1.277e-15
MKL,109,4.873e-16,3.993e-16,1.224e-15
VectorFFT,110,2.692e-16,3.505e-16,6.744e-16
MKL,110,2.033e-16,2.476e-16,6.819e-16
VectorFFT,111,3.652e-16,3.492e-16,7.762e-16
MKL,111,2.264e-16,2.476e-16,4.900e-16
VectorFFT,112,1.821e-16,2.602e-16,5.650e-16
MKL,112,1.826e-16,2.827e-16,5.334e-16
VectorFFT,113,3.947e-16,3.270e-16,8.769e-16
MKL,113,4.465e-16,5.003e-16,1.190e-15
VectorFFT,114,3.541e-16,3.658e-16,8.771e-16
MKL,114,2.177e-16,2.463e-16,5.315e-16
VectorFFT,115,3.744e-16,3.989e-16,8.833e-16
MKL,115,2.181e-16,2.292e-16,6.675e-16
VectorFFT,116,3.207e-16,3.333e-16,7.799e-16
MKL,116,1.918e-16,1.805e-16,4.711e-16
VectorFFT,117,3.697e-16,3.841e-16,1.041e-15
MKL,117,2.275e-16,2.479e-16,5.167e-16
VectorFFT,118,3.388e-16,4.969e-16,8.676e-16
MKL,118,2.443e-16,3.557e-16,5.261e-16
VectorFFT,119,3.674e-16,4.238e-16,9.856e-16
MKL,119,2.213e-16,2.497e-16,4.844e-16
VectorFFT,120,3.014e-16,2.714e-16,7.855e-16
MKL,120,2.202e-16,2.480e-16,5.443e-16
VectorFFT,121,2.893e-16,3.617e-16,7.958e-16
MKL,121,2.264e-16,3.269e-16,5.408e-16
VectorFFT,122,3.784e-16,3.181e-16,1.067e-15
MKL,122,2.671e-16,2.520e-16,6.039e-16
VectorFFT,123,3.895e-16,5.586e-16,1.078e-15
MKL,123,3.084e-16,3.635e-16,8.692e-16
VectorFFT,124,3.396e-16,3.877e-16,1.096e-15
MKL,124,2.144e-16,3.361e-16,4.940e-16
VectorFFT,125,2.900e-16,3.140e-16,8.758e-16
MKL,125,2.755e-16,2.985e-16,5.332e-16
VectorFFT,126,3.255e-16,2.882e-16,9.722e-16
MKL,126,2.055e-16,1.782e-16,5.713e-16
VectorFFT,127,7.164e-16,8.766e-16,1.805e-15
MKL,127,4.406e-16,5.719e-16,1.269e-15
VectorFFT,128,1.685e-16,1.942e-16,4.445e-16
MKL,128,1.498e-16,1.740e-16,5.556e-16
VectorFFT,129,3.654e-16,4.228e-16,8.926e-16
MKL,129,2.883e-16,4.024e-16,5.384e-16
VectorFFT,130,3.798e-16,3.911e-16,8.755e-16
MKL,130,2.418e-16,2.220e-16,5.531e-16
VectorFFT,131,6.364e-16,6.974e-16,1.529e-15
MKL,131,4.434e-16,3.750e-16,1.134e-15
VectorFFT,132,3.480e-16,3.221e-16,7.469e-16
MKL,132,2.016e-16,2.106e-16,5.086e-16
VectorFFT,133,3.139e-16,3.553e-16,1.074e-15
MKL,133,2.561e-16,3.426e-16,5.302e-16
VectorFFT,134,2.810e-16,3.161e-16,7.378e-16
MKL,134,2.359e-16,3.519e-16,5.256e-16
VectorFFT,135,3.640e-16,3.273e-16,8.443e-16
MKL,135,2.537e-16,2.499e-16,6.264e-16
VectorFFT,136,3.666e-16,3.619e-16,6.724e-16
MKL,136,1.846e-16,1.924e-16,4.077e-16
VectorFFT,137,6.642e-16,6.115e-16,1.674e-15
MKL,137,3.835e-16,3.597e-16,1.235e-15
VectorFFT,138,3.844e-16,3.346e-16,8.442e-16
MKL,138,2.166e-16,2.304e-16,6.699e-16
VectorFFT,139,7.026e-16,6.145e-16,1.918e-15
MKL,139,3.506e-16,3.026e-16,1.004e-15
VectorFFT,140,2.479e-16,2.402e-16,6.738e-16
MKL,140,2.339e-16,3.450e-16,5.195e-16
VectorFFT,141,3.554e-16,3.648e-16,8.120e-16
MKL,141,2.641e-16,4.162e-16,6.771e-16
VectorFFT,142,3.401e-16,4.672e-16,1.206e-15
MKL,142,2.716e-16,4.085e-16,6.397e-16
VectorFFT,143,3.818e-16,4.430e-16,8.620e-16
MKL,143,2.151e-16,1.567e-16,6.130e-16
VectorFFT,144,3.013e-16,3.418e-16,9.089e-16
MKL,144,1.905e-16,3.163e-16,5.045e-16
VectorFFT,145,3.291e-16,3.529e-16,7.513e-16
MKL,145,2.522e-16,2.674e-16,6.077e-16
VectorFFT,146,3.398e-16,3.118e-16,1.010e-15
MKL,146,2.568e-16,3.068e-16,5.083e-16
VectorFFT,147,2.799e-16,3.479e-16,7.790e-16
MKL,147,2.579e-16,2.843e-16,7.537e-16
VectorFFT,148,3.163e-16,2.832e-16,6.921e-16
MKL,148,2.108e-16,2.546e-16,5.344e-16
VectorFFT,149,5.258e-16,6.074e-16,1.546e-15
MKL,149,3.725e-16,4.943e-16,9.569e-16
VectorFFT,150,3.282e-16,4.467e-16,1.075e-15
MKL,150,2.589e-16,2.922e-16,6.244e-16
VectorFFT,151,5.330e-16,5.364e-16,1.236e-15
MKL,151,4.012e-16,3.252e-16,1.062e-15
VectorFFT,152,2.706e-16,2.393e-16,5.795e-16
MKL,152,2.479e-16,3.717e-16,5.724e-16
VectorFFT,153,4.860e-16,5.865e-16,8.793e-16
MKL,153,3.934e-16,4.778e-16,9.154e-16
VectorFFT,154,3.574e-16,5.811e-16,1.194e-15
MKL,154,2.141e-16,2.332e-16,6.049e-16
VectorFFT,155,3.804e-16,3.690e-16,7.870e-16
MKL,155,2.738e-16,2.365e-16,5.863e-16
VectorFFT,156,3.808e-16,4.904e-16,9.123e-16
MKL,156,2.139e-16,2.484e-16,5.517e-16
VectorFFT,157,6.860e-16,8.378e-16,1.920e-15
MKL,157,3.812e-16,4.020e-16,8.435e-16
VectorFFT,158,2.944e-16,2.869e-16,8.278e-16
MKL,158,2.506e-16,3.711e-16,6.072e-16
VectorFFT,159,2.894e-16,3.160e-16,9.662e-16
MKL,159,2.479e-16,3.181e-16,6.084e-16
VectorFFT,160,2.107e-16,2.187e-16,5.244e-16
MKL,160,1.899e-16,2.074e-16,5.414e-16
VectorFFT,161,3.634e-16,3.847e-16,1.028e-15
MKL,161,2.352e-16,2.103e-16,5.323e-16
VectorFFT,162,3.966e-16,3.944e-16,1.220e-15
MKL,162,2.207e-16,2.257e-16,6.730e-16
VectorFFT,163,7.656e-16,9.005e-16,1.898e-15
MKL,163,3.698e-16,4.018e-16,1.130e-15
VectorFFT,164,2.910e-16,2.692e-16,7.692e-16
MKL,164,2.220e-16,2.485e-16,4.994e-16
VectorFFT,165,3.260e-16,3.433e-16,7.956e-16
MKL,165,2.679e-16,2.553e-16,6.570e-16
VectorFFT,166,3.299e-16,3.446e-16,9.408e-16
MKL,166,2.766e-16,3.056e-16,6.665e-16
VectorFFT,167,3.832e-16,2.936e-16,1.427e-15
MKL,167,4.057e-16,3.208e-16,1.379e-15
VectorFFT,168,2.753e-16,3.302e-16,8.048e-16
MKL,168,2.334e-16,2.329e-16,6.247e-16
VectorFFT,169,4.360e-16,5.371e-16,1.020e-15
MKL,169,2.438e-16,3.306e-16,5.041e-16
VectorFFT,170,4.130e-16,4.380e-16,8.610e-16
MKL,170,2.255e-16,3.176e-16,5.713e-16
VectorFFT,171,3.821e-16,3.119e-16,6.959e-16
MKL,171,3.034e-16,2.328e-16,6.255e-16
VectorFFT,172,3.304e-16,4.263e-16,9.273e-16
MKL,172,2.078e-16,2.919e-16,5.602e-16
VectorFFT,173,3.049e-16,5.174e-16,7.433e-16
MKL,173,3.929e-16,4.233e-16,1.147e-15
VectorFFT,174,3.936e-16,4.084e-16,8.170e-16
MKL,174,2.329e-16,2.974e-16,5.235e-16
VectorFFT,175,2.683e-16,2.506e-16,7.357e-16
MKL,175,3.378e-16,3.679e-16,8.558e-16
VectorFFT,176,2.430e-16,2.367e-16,6.429e-16
MKL,176,1.846e-16,1.909e-16,5.791e-16
VectorFFT,177,3.588e-16,4.788e-16,1.265e-15
MKL,177,2.582e-16,3.343e-16,6.223e-16
VectorFFT,178,3.219e-16,2.802e-16,9.148e-16
MKL,178,2.518e-16,2.665e-16,7.526e-16
VectorFFT,179,3.133e-16,2.734e-16,9.474e-16
MKL,179,3.954e-16,3.972e-16,1.093e-15
VectorFFT,180,3.805e-16,4.814e-16,9.023e-16
MKL,180,2.102e-16,2.287e-16,6.034e-16
VectorFFT,181,5.727e-16,5.524e-16,1.759e-15
MKL,181,3.833e-16,3.808e-16,1.287e-15
VectorFFT,182,4.718e-16,7.276e-16,1.023e-15
MKL,182,2.189e-16,2.919e-16,6.455e-16
VectorFFT,183,3.289e-16,2.601e-16,9.782e-16
MKL,183,2.645e-16,2.037e-16,7.211e-16
VectorFFT,184,3.511e-16,4.350e-16,1.050e-15
MKL,184,2.075e-16,2.659e-16,8.114e-16
VectorFFT,185,3.387e-16,3.209e-16,8.521e-16
MKL,185,2.505e-16,2.808e-16,6.563e-16
VectorFFT,186,3.926e-16,4.012e-16,9.406e-16
MKL,186,2.210e-16,2.221e-16,5.804e-16
VectorFFT,187,5.179e-16,6.684e-16,1.218e-15
MKL,187,3.435e-16,4.958e-16,1.239e-15
VectorFFT,188,3.250e-16,3.929e-16,8.492e-16
MKL,188,2.326e-16,2.721e-16,5.520e-16
VectorFFT,189,3.406e-16,3.377e-16,9.726e-16
MKL,189,2.780e-16,3.678e-16,7.969e-16
VectorFFT,190,3.337e-16,4.248e-16,9.430e-16
MKL,190,2.572e-16,2.589e-16,6.024e-16
VectorFFT,191,6.015e-16,7.181e-16,2.182e-15
MKL,191,4.263e-16,5.221e-16,1.260e-15
VectorFFT,192,2.499e-16,3.205e-16,7.194e-16
MKL,192,1.830e-16,2.114e-16,5.603e-16
VectorFFT,193,5.022e-16,3.654e-16,1.734e-15
MKL,193,4.270e-16,3.052e-16,1.106e-15
VectorFFT,194,3.149e-16,2.644e-16,1.060e-15
MKL,194,2.778e-16,3.762e-16,7.867e-16
VectorFFT,195,4.099e-16,5.915e-16,1.135e-15
MKL,195,3.015e-16,3.387e-16,7.874e-16
VectorFFT,196,2.329e-16,2.228e-16,7.142e-16
MKL,196,2.187e-16,2.011e-16,7.599e-16
VectorFFT,197,4.121e-16,6.827e-16,1.158e-15
MKL,197,4.660e-16,6.073e-16,1.210e-15
VectorFFT,198,3.587e-16,4.143e-16,7.936e-16
MKL,198,2.356e-16,3.225e-16,5.714e-16
VectorFFT,199,5.831e-16,5.497e-16,1.436e-15
MKL,199,4.357e-16,3.682e-16,9.987e-16
VectorFFT,200,2.450e-16,2.823e-16,8.054e-16
MKL,200,2.154e-16,2.107e-16,6.638e-16
VectorFFT,201,3.922e-16,3.869e-16,1.203e-15
MKL,201,2.882e-16,4.271e-16,8.677e-16
VectorFFT,202,3.044e-16,3.331e-16,1.067e-15
MKL,202,2.816e-16,3.847e-16,1.023e-15
VectorFFT,203,3.523e-16,3.859e-16,6.392e-16
MKL,203,2.501e-16,2.291e-16,5.901e-16
VectorFFT,204,4.203e-16,5.945e-16,1.115e-15
MKL,204,2.275e-16,2.781e-16,7.485e-16
VectorFFT,205,3.180e-16,3.090e-16,7.532e-16
MKL,205,2.803e-16,2.472e-16,7.421e-16
VectorFFT,206,3.860e-16,2.860e-16,9.199e-16
MKL,206,2.979e-16,3.177e-16,7.176e-16
VectorFFT,207,4.459e-16,4.797e-16,1.376e-15
MKL,207,3.125e-16,3.169e-16,7.493e-16
VectorFFT,208,3.603e-16,4.274e-16,1.142e-15
MKL,208,2.063e-16,1.859e-16,5.066e-16
VectorFFT,209,3.674e-16,3.986e-16,9.419e-16
MKL,209,3.021e-16,3.066e-16,8.134e-16
VectorFFT,210,2.713e-16,3.379e-16,7.171e-16
MKL,210,2.040e-16,1.928e-16,6.382e-16
VectorFFT,211,6.012e-16,7.086e-16,1.299e-15
MKL,211,4.669e-16,4.996e-16,1.436e-15
VectorFFT,212,4.088e-16,4.962e-16,1.190e-15
MKL,212,2.300e-16,2.544e-16,5.382e-16
VectorFFT,213,3.889e-16,4.458e-16,1.160e-15
MKL,213,2.792e-16,3.918e-16,7.654e-16
VectorFFT,214,3.809e-16,3.113e-16,1.136e-15
MKL,214,3.086e-16,3.675e-16,9.895e-16
VectorFFT,215,3.906e-16,5.119e-16,1.066e-15
MKL,215,2.780e-16,2.959e-16,8.463e-16
VectorFFT,216,3.472e-16,4.269e-16,1.052e-15
MKL,216,1.933e-16,2.154e-16,5.036e-16
VectorFFT,217,3.671e-16,4.463e-16,1.015e-15
MKL,217,2.717e-16,2.443e-16,7.510e-16
VectorFFT,218,3.210e-16,3.957e-16,9.133e-16
MKL,218,2.862e-16,3.602e-16,7.768e-16
VectorFFT,219,3.833e-16,4.182e-16,9.505e-16
MKL,219,2.618e-16,3.028e-16,6.988e-16
VectorFFT,220,2.751e-16,2.359e-16,7.391e-16
MKL,220,2.250e-16,2.645e-16,7.178e-16
VectorFFT,221,5.150e-16,5.083e-16,1.059e-15
MKL,221,2.668e-16,2.409e-16,6.945e-16
VectorFFT,222,3.796e-16,4.121e-16,8.276e-16
MKL,222,2.374e-16,3.126e-16,5.847e-16
VectorFFT,223,3.855e-16,3.453e-16,1.008e-15
MKL,223,4.549e-16,4.578e-16,1.486e-15
VectorFFT,224,1.950e-16,2.547e-16,5.598e-16
MKL,224,1.850e-16,2.059e-16,5.999e-16
VectorFFT,225,3.819e-16,3.098e-16,7.708e-16
MKL,225,2.794e-16,2.372e-16,7.537e-16
VectorFFT,226,3.003e-16,3.174e-16,8.727e-16
MKL,226,2.831e-16,4.219e-16,8.021e-16
VectorFFT,227,3.825e-16,3.844e-16,1.518e-15
MKL,227,4.611e-16,5.120e-16,1.167e-15
VectorFFT,228,8.157e-16,1.423e-15,3.356e-15
MKL,228,2.285e-16,2.676e-16,6.552e-16
VectorFFT,229,6.486e-16,8.357e-16,1.637e-15
MKL,229,5.081e-16,6.764e-16,1.593e-15
VectorFFT,230,3.608e-16,4.063e-16,1.006e-15
MKL,230,2.451e-16,3.117e-16,8.318e-16
VectorFFT,231,3.107e-16,3.455e-16,9.928e-16
MKL,231,2.981e-16,3.127e-16,7.146e-16
VectorFFT,232,3.793e-16,5.452e-16,1.256e-15
MKL,232,2.104e-16,2.763e-16,6.228e-16
VectorFFT,233,3.560e-16,5.963e-16,8.121e-16
MKL,233,5.030e-16,5.607e-16,1.221e-15
VectorFFT,234,4.247e-16,4.615e-16,1.357e-15
MKL,234,2.291e-16,2.363e-16,5.806e-16
VectorFFT,235,3.724e-16,3.408e-16,9.244e-16
MKL,235,2.603e-16,2.365e-16,6.959e-16
VectorFFT,236,4.290e-16,4.343e-16,1.146e-15
MKL,236,2.523e-16,2.316e-16,6.584e-16
VectorFFT,237,4.162e-16,5.410e-16,1.217e-15
MKL,237,2.585e-16,2.041e-16,8.047e-16
VectorFFT,238,6.884e-16,7.017e-16,1.895e-15
MKL,238,2.223e-16,2.185e-16,5.866e-16
VectorFFT,239,4.243e-16,4.358e-16,1.290e-15
MKL,239,5.196e-16,4.835e-16,1.751e-15
VectorFFT,240,2.668e-16,2.994e-16,6.565e-16
MKL,240,2.159e-16,1.940e-16,5.388e-16
VectorFFT,241,4.815e-16,4.800e-16,1.475e-15
MKL,241,5.132e-16,4.928e-16,1.463e-15
VectorFFT,242,5.144e-16,5.840e-16,1.860e-15
MKL,242,2.048e-16,2.065e-16,5.362e-16
VectorFFT,243,4.673e-16,5.959e-16,1.007e-15
MKL,243,3.464e-16,4.549e-16,7.474e-16
VectorFFT,244,4.226e-16,4.311e-16,1.120e-15
MKL,244,2.457e-16,4.087e-16,6.129e-16
VectorFFT,245,2.739e-16,3.598e-16,7.542e-16
MKL,245,2.542e-16,3.106e-16,6.859e-16
VectorFFT,246,3.452e-16,3.340e-16,8.831e-16
